Time, Longitude (E), Latitude (N), SST, WSPD_LF, WSPD_MF, Vapor, Cloud_Liquid_Water, Rain_Rate
2020-02-05 05:53:38, 120.125, 10.125, --, 6.865, 6.896, 31.335, 0.027, 0.000
2020-02-05 05:53:44, 120.125, 10.375, --, --, 7.308, 30.948, 0.015, 0.000
2020-02-05 05:53:50, 120.125, 10.625, --, --, --, --, --, --
2020-02-05 05:53:56, 120.125, 10.875, --, --, 6.635, 32.848, 0.017, 0.000
2020-02-05 05:54:02, 120.125, 11.125, --, --, 5.353, 33.215, 0.017, 0.000
2020-02-05 05:54:34, 120.125, 12.375, --, --, --, --, --, --
2020-02-05 05:54:39, 120.125, 12.625, --, 5.395, 5.757, 32.369, 0.007, 0.000
2020-02-05 05:54:45, 120.125, 12.875, --, 6.926, 6.656, 32.715, 0.006, 0.000
2020-02-05 05:54:51, 120.125, 13.125, --, 8.115, 8.452, 32.308, 0.006, 0.000
2020-02-05 05:54:56, 120.125, 13.375, --, --, 8.122, 31.532, 0.009, 0.000
2020-02-05 05:55:00, 120.125, 13.625, --, --, 7.848, 30.458, 0.002, 0.000
2020-02-05 05:55:05, 120.125, 14.125, --, 5.514, 5.370, 30.892, 0.004, 0.000
2020-02-05 05:55:11, 120.125, 14.375, --, 5.408, 4.795, 30.816, 0.003, 0.000
2020-02-05 05:55:16, 120.125, 14.625, --, 5.393, 5.025, 29.980, 0.001, 0.000
2020-02-05 05:53:48, 120.375, 10.125, 27.581, 7.299, 7.606, 31.662, 0.024, 0.000
2020-02-05 05:53:54, 120.375, 10.375, --, 7.566, 7.409, 32.110, 0.018, 0.000
2020-02-05 05:54:00, 120.375, 10.625, --, 8.028, 7.967, 32.955, 0.015, 0.000
2020-02-05 05:54:07, 120.375, 10.875, --, 7.729, 7.346, 33.800, 0.009, 0.000
2020-02-05 05:54:14, 120.375, 11.125, --, 7.022, 7.042, 34.540, 0.011, 0.000
2020-02-05 05:54:19, 120.375, 11.375, --, --, 5.087, 35.294, 0.021, 0.000
2020-02-05 05:54:24, 120.375, 11.625, --, --, --, --, --, --
2020-02-05 05:54:30, 120.375, 11.875, --, --, --, --, --, --
2020-02-05 05:54:39, 120.375, 12.375, --, --, --, --, --, --
2020-02-05 05:54:39, 120.375, 12.625, --, 5.897, 6.052, 32.482, 0.007, 0.000
2020-02-05 05:54:45, 120.375, 12.875, --, 6.841, 6.878, 32.529, 0.006, 0.000
2020-02-05 05:54:51, 120.375, 13.125, --, 7.726, 7.928, 32.217, 0.007, 0.000
2020-02-05 05:53:58, 120.625, 10.125, --, 7.501, 7.625, 31.914, 0.016, 0.000
2020-02-05 05:54:04, 120.625, 10.375, --, 7.556, 7.881, 32.597, 0.014, 0.000
2020-02-05 05:54:09, 120.625, 10.625, --, 7.883, 8.164, 33.565, 0.008, 0.000
2020-02-05 05:54:15, 120.625, 10.875, --, --, 8.038, 34.603, 0.007, 0.000
2020-02-05 05:54:14, 120.625, 11.125, --, 7.255, 7.093, 34.563, 0.011, 0.000
2020-02-05 05:54:19, 120.625, 11.375, --, 7.022, 5.730, 35.046, 0.018, 0.000
2020-02-05 05:54:24, 120.625, 11.625, --, --, 5.087, 35.294, 0.021, 0.000
2020-02-05 05:54:30, 120.625, 11.875, --, --, --, --, --, --
2020-02-05 05:54:30, 120.625, 12.125, --, --, --, --, --, --
2020-02-05 05:54:39, 120.625, 12.375, --, --, --, --, --, --
2020-02-05 05:54:39, 120.625, 12.625, --, --, --, --, --, --
2020-02-05 05:53:58, 120.875, 10.125, --, 7.419, 7.585, 31.955, 0.016, 0.000
2020-02-05 05:54:04, 120.875, 10.375, --, 7.623, 7.888, 32.668, 0.013, 0.000
2020-02-05 05:54:09, 120.875, 10.625, --, 7.775, 8.062, 33.583, 0.009, 0.000
2020-02-05 05:54:15, 120.875, 10.875, --, 7.883, 8.079, 34.261, 0.008, 0.000
2020-02-05 05:54:15, 120.875, 11.125, --, --, 8.038, 34.603, 0.007, 0.000
2020-02-05 04:18:23, 127.625, 19.125, --, --, --, 39.890, 0.088, 0.000
2020-02-05 04:18:23, 127.625, 19.375, --, --, --, 40.609, 0.282, 0.666
2020-02-05 04:18:26, 127.625, 19.625, --, --, --, 41.467, 0.441, 1.095
2020-02-05 04:18:28, 127.625, 19.875, --, --, --, 41.630, 0.391, 0.618
2020-02-05 04:18:10, 127.875, 18.375, 25.787, 7.267, 7.248, 36.388, -0.002, 0.000
2020-02-05 04:18:10, 127.875, 18.625, 25.719, 7.059, 7.035, 36.545, 0.004, 0.000
2020-02-05 04:18:12, 127.875, 18.875, 25.595, 6.807, 6.760, 36.996, 0.013, 0.000
2020-02-05 04:18:14, 127.875, 19.125, 25.464, 6.730, 6.726, 38.627, 0.048, 0.000
2020-02-05 04:18:23, 127.875, 19.375, --, --, --, 39.890, 0.088, 0.000
2020-02-05 04:18:26, 127.875, 19.625, --, --, --, 42.137, 0.694, 2.080
2020-02-05 04:18:28, 127.875, 19.875, --, --, --, 41.619, 0.256, 0.094
2020-02-05 04:17:54, 128.125, 17.375, 26.514, 7.851, 8.247, 37.780, 0.019, 0.000
2020-02-05 04:17:54, 128.125, 17.625, 26.408, 7.761, 8.158, 37.256, 0.016, 0.000
2020-02-05 04:17:56, 128.125, 17.875, 26.202, 7.565, 7.887, 36.513, 0.012, 0.000
2020-02-05 04:17:58, 128.125, 18.125, 25.960, 7.339, 7.371, 36.037, 0.007, 0.000
2020-02-05 04:18:01, 128.125, 18.375, 25.826, 7.253, 7.098, 36.098, 0.001, 0.000
2020-02-05 04:18:10, 128.125, 18.625, 25.787, 7.267, 7.248, 36.388, -0.002, 0.000
2020-02-05 04:18:12, 128.125, 18.875, 25.574, 6.617, 6.585, 36.875, 0.017, 0.000
2020-02-05 04:18:14, 128.125, 19.125, 25.447, 6.751, 6.644, 37.859, 0.021, 0.000
2020-02-05 04:18:17, 128.125, 19.375, 25.390, 6.801, 7.043, 39.616, 0.059, 0.000
2020-02-05 04:18:18, 128.125, 19.625, --, --, --, 41.001, 0.238, 0.102
2020-02-05 04:18:19, 128.125, 19.875, --, --, --, 41.761, 0.238, 0.113
2020-02-05 04:17:39, 128.375, 16.625, 26.851, 8.595, 8.680, 44.103, 0.085, 0.000
2020-02-05 04:17:39, 128.375, 16.875, 26.792, 8.515, 8.519, 43.914, 0.066, 0.000
2020-02-05 04:17:42, 128.375, 17.125, 26.732, 8.343, 8.280, 43.394, 0.039, 0.000
2020-02-05 04:17:45, 128.375, 17.375, 26.639, 8.023, 8.147, 40.809, 0.021, 0.000
