Time, Longitude (E), Latitude (N), SST, WSPD_LF, WSPD_MF, Vapor, Cloud_Liquid_Water, Rain_Rate
2020-02-05 18:09:55, 120.125, 10.125, --, --, --, --, --, --
2020-02-05 18:09:55, 120.125, 10.375, --, --, --, --, --, --
2020-02-05 18:09:55, 120.125, 10.625, --, --, --, --, --, --
2020-02-05 18:09:44, 120.125, 10.875, --, --, --, --, --, --
2020-02-05 18:09:39, 120.125, 11.125, --, --, --, --, --, --
2020-02-05 18:09:16, 120.125, 12.375, --, --, --, --, --, --
2020-02-05 18:09:09, 120.125, 12.625, --, 4.953, 5.314, 40.965, 0.018, 0.000
2020-02-05 18:09:01, 120.125, 12.875, --, 5.191, 4.676, 40.237, 0.016, 0.000
2020-02-05 18:08:54, 120.125, 13.125, --, 6.857, 6.856, 39.380, 0.011, 0.000
2020-02-05 18:08:47, 120.125, 13.375, --, --, 9.645, 39.324, 0.022, 0.000
2020-02-05 18:08:41, 120.125, 13.625, --, --, --, --, --, --
2020-02-05 18:08:28, 120.125, 14.125, --, --, 7.097, 39.272, 0.031, 0.000
2020-02-05 18:08:22, 120.125, 14.375, --, --, 6.162, 38.937, 0.029, 0.000
2020-02-05 18:08:16, 120.125, 14.625, --, --, --, --, --, --
2020-02-05 18:07:37, 120.125, 16.375, --, --, --, --, --, --
2020-02-05 18:07:31, 120.125, 16.625, --, --, 4.376, 33.650, 0.009, 0.000
2020-02-05 18:07:26, 120.125, 16.875, --, --, 4.970, 32.520, 0.010, 0.000
2020-02-05 18:07:20, 120.125, 17.125, --, --, 5.920, 31.942, 0.003, 0.000
2020-02-05 18:07:15, 120.125, 17.375, --, --, 6.420, 30.847, 0.001, 0.000
2020-02-05 18:07:10, 120.125, 17.625, --, --, 8.126, 30.001, -0.002, 0.000
2020-02-05 18:07:05, 120.125, 17.875, --, 10.582, 9.618, 29.951, 0.008, 0.000
2020-02-05 18:06:59, 120.125, 18.125, --, 13.262, 11.762, 31.065, 0.006, 0.000
2020-02-05 18:06:54, 120.125, 18.375, --, 14.625, 14.851, 32.398, 0.005, 0.000
2020-02-05 18:06:49, 120.125, 18.625, 25.209, 14.054, 14.344, 32.961, 0.019, 0.000
2020-02-05 18:06:44, 120.125, 18.875, 25.196, 13.191, 13.433, 31.072, 0.017, 0.000
2020-02-05 18:06:39, 120.125, 19.125, 25.377, 12.563, 12.728, 28.262, 0.008, 0.000
2020-02-05 18:06:34, 120.125, 19.375, 25.216, 12.188, 12.307, 27.663, 0.039, 0.000
2020-02-05 18:06:29, 120.125, 19.625, 24.567, 12.200, 12.464, 26.564, 0.031, 0.000
2020-02-05 18:06:24, 120.125, 19.875, 23.969, 12.801, 13.033, 25.931, 0.026, 0.000
2020-02-05 18:09:21, 120.375, 12.375, --, --, 3.508, 40.604, 0.037, 0.000
2020-02-05 18:09:16, 120.375, 12.625, --, 4.367, 4.475, 41.203, 0.024, 0.000
2020-02-05 18:09:11, 120.375, 12.875, --, 4.408, 4.348, 40.416, 0.018, 0.000
2020-02-05 18:09:05, 120.375, 13.125, --, --, 5.818, 39.421, 0.008, 0.000
